[INFO] [1753434589.988354482] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.044274336] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.146036580] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.244425973] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.346282524] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.444320033] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.544329898] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.644284144] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.744324921] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.844286848] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
[INFO] [1753434590.944637076] [laser_publisher]: Sample data - Range: array('f', [0.0, 6.927000045776367, 4.1020002365112305, 5.301000118255615]), Intensity: array('f', [0.0, 166.0, 45.0, 78.0])
