[INFO] [1753424145.656498606] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424145.720128710] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424145.820168700] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424145.920049581] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.020208293] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.120223162] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.220270191] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.320214274] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.420421020] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.520955645] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.621511007] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.720141778] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.820219048] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424146.920544932] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.021087014] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.120614159] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.220608387] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.323803462] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.421407584] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.520151798] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.623287095] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.720303299] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.820366937] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424147.920114919] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.020457636] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.120286293] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.220175623] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.320295455] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.420196273] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.520455852] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.620147865] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.720258449] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.820258886] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424148.920254138] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.020150668] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.120209763] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.220202840] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.320519220] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.420146880] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.520265688] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.620373552] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.720552553] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.820199573] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 763.0, 31.0, 45.0])
[INFO] [1753424149.920258732] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.020107805] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.120602878] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.220172873] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.320712716] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.420156083] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.520679445] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.620180798] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.720619006] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.821557130] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424150.920312225] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.021963166] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.120137255] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.222522295] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.320173331] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.420147367] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.520155485] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.620191923] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.721947348] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.820149533] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 765.0, 31.0, 45.0])
[INFO] [1753424151.921061193] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 782.0, 31.0, 45.0])
[INFO] [1753424152.020202793] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 782.0, 31.0, 45.0])
[INFO] [1753424152.121357371] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1050000190734863, 5.369999885559082]), Intensity: array('f', [0.0, 782.0, 31.0, 45.0])
[INFO] [1753424152.220143411] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1059999465942383, 5.369999885559082]), Intensity: array('f', [0.0, 782.0, 31.0, 45.0])
[INFO] [1753424152.321735344] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.665999889373779, 2.1059999465942383, 5.369999885559082]), Intensity: array('f', [0.0, 782.0, 31.0, 45.0])
