[INFO] [1753436872.864400059] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436872.925927285] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.026046355] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.126063213] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.226046888] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.326029378] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.429460844] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.526038839] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.626446075] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.726007980] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.828119703] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436873.926061922] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.027117461] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.126038935] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.226101395] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.326034348] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.426256875] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.526081474] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.626039643] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.726047158] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.827040008] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436874.927175269] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.027920401] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.126921845] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.226110332] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.326786567] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.427561683] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.527135876] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.626331948] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.726172578] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.826097179] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436875.926160087] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.026612892] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.126074826] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.226114918] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.326005277] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.426071002] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.526511742] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.627487536] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.726154603] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.826036707] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436876.926140736] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.1110000610351562, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 493.0, 54.0, 11.0])
[INFO] [1753436877.026043320] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.126074739] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.226043501] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.327507273] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.427312063] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.526436421] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.626200282] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.726701921] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.826696539] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436877.927262147] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.026146115] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.126848366] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.228212488] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.326833698] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.426252879] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.526061925] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.626116577] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.726034330] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.826875656] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5450000762939453, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 54.0, 11.0])
[INFO] [1753436878.927022309] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 572.0, 67.0, 11.0])
[INFO] [1753436879.026608694] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
[INFO] [1753436879.127148477] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
[INFO] [1753436879.226175009] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
[INFO] [1753436879.326562532] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
[INFO] [1753436879.426024146] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
[INFO] [1753436879.526604666] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.059999942779541, 2.5360000133514404, 6.885000228881836]), Intensity: array('f', [0.0, 568.0, 67.0, 11.0])
