[INFO] [1753437151.418796629] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.462298281] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.562829931] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.662135664] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.763753739] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.862231101] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437151.962185393] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.062136645] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.162273342] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.262230578] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.362164614] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.462211548] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.562174865] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.662231815] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.762187036] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.862173873] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437152.962400875] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.062308606] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.162163184] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.262188230] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.362203004] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.463832439] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.562640657] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.662864971] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.764152510] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.862330793] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437153.962171259] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.062314580] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.162293384] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.262198492] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.362244786] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.462269832] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.562183227] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.663835863] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.762803444] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.864293260] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437154.962156656] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.063223486] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.163408375] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.263499247] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.362865813] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.463613276] [laser_publisher]: Sample data - Range: array('f', [0.0, 5.797999858856201, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 243.0, 93.0, 133.0])
[INFO] [1753437155.562214641] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.401000022888184, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437155.664552380] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.401000022888184, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437155.762402944] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.401000022888184, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437155.862419317] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.394999980926514, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437155.962346377] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.377999782562256, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.062967693] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.355000019073486, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.163522543] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.355000019073486, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.262799763] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.331999778747559, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.362469089] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.309000015258789, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.462140527] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.285999774932861, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.565943452] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.263000011444092, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.662766248] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.263000011444092, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.762232401] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.239999771118164, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.862171268] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.2170000076293945, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437156.962186970] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.192999839782715, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.064198302] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.192999839782715, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.162233894] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.169000148773193, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.263443319] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.145999908447266, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.362310610] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.122000217437744, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.462471275] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.122000217437744, 2.7249999046325684, 0.7960000038146973]), Intensity: array('f', [0.0, 499.0, 93.0, 133.0])
[INFO] [1753437157.562483137] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.0879998207092285, 2.433000087738037, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437157.662185551] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.052999973297119, 2.433000087738037, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437157.762153347] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.052999973297119, 2.433000087738037, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437157.862302076] [laser_publisher]: Sample data - Range: array('f', [0.0, 4.019000053405762, 2.433000087738037, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437157.962812285] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.994999885559082, 2.431999921798706, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.063222972] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.994999885559082, 2.430000066757202, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.162658084] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9719998836517334, 2.427000045776367, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.263434923] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9719998836517334, 2.4240000247955322, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.362170083] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9489998817443848, 2.4240000247955322, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.462274011] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9260001182556152, 2.4210000038146973, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.563393962] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9030001163482666, 2.4179999828338623, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.662221668] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9030001163482666, 2.4159998893737793, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.762408414] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.880000114440918, 2.4159998893737793, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.862257360] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.8580000400543213, 2.4149999618530273, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437158.962507243] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.8350000381469727, 2.4119999408721924, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437159.062213593] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.813999891281128, 2.4100000858306885, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437159.162246159] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.813999891281128, 2.4100000858306885, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437159.262180835] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437159.362382301] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 0.7960000038146973]), Intensity: array('f', [0.0, 552.0, 97.0, 133.0])
[INFO] [1753437159.465282293] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.014999866485596]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437159.562365575] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.014999866485596]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437159.665698153] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.014999866485596]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437159.763325639] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.017000198364258]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437159.862226243] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.019999980926514]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437159.962160023] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.019999980926514]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.062273295] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.02400016784668]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.162238819] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.026000022888184]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.266109906] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.03000020980835]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.362646775] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.0329999923706055]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.462169537] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.0329999923706055]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.562203159] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.033999919891357]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.662145483] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.039000034332275]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.762184385] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.0269999504089355]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.862229271] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.03000020980835]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437160.962180331] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.03000020980835]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.062931442] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.033999919891357]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.162668801] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.057000160217285]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.262239788] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.059999942779541]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.362342148] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.059999942779541]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.462160661] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.059999942779541]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.562217004] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.059999942779541]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.662160959] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.059999942779541]), Intensity: array('f', [0.0, 552.0, 97.0, 190.0])
[INFO] [1753437161.762164245] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437161.862349518] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437161.963784485] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437162.062219798] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437162.162252716] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437162.262151678] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 13.0])
[INFO] [1753437162.362230133] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 11.0])
[INFO] [1753437162.462203082] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 11.0])
[INFO] [1753437162.562178783] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 11.0])
[INFO] [1753437162.662262710] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 11.0])
[INFO] [1753437162.764722116] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.070000171661377]), Intensity: array('f', [0.0, 552.0, 97.0, 11.0])
[INFO] [1753437162.862874542] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.056000232696533]), Intensity: array('f', [0.0, 552.0, 97.0, 6.0])
[INFO] [1753437162.962227285] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.056000232696533]), Intensity: array('f', [0.0, 552.0, 97.0, 6.0])
[INFO] [1753437163.062897081] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.056000232696533]), Intensity: array('f', [0.0, 552.0, 97.0, 6.0])
[INFO] [1753437163.162969232] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.056000232696533]), Intensity: array('f', [0.0, 552.0, 97.0, 6.0])
[INFO] [1753437163.262208820] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.056000232696533]), Intensity: array('f', [0.0, 552.0, 97.0, 6.0])
[INFO] [1753437163.362260458] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.044000148773193]), Intensity: array('f', [0.0, 552.0, 97.0, 23.0])
[INFO] [1753437163.462181565] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.7929999828338623, 2.4059998989105225, 7.044000148773193]), Intensity: array('f', [0.0, 552.0, 97.0, 23.0])
[INFO] [1753437163.562264436] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.48799991607666, 2.4059998989105225, 7.044000148773193]), Intensity: array('f', [0.0, 564.0, 97.0, 23.0])
[INFO] [1753437163.662217417] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.5299999713897705, 2.4059998989105225, 7.044000148773193]), Intensity: array('f', [0.0, 564.0, 97.0, 23.0])
[INFO] [1753437163.762276927] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.569999933242798, 2.4059998989105225, 7.044000148773193]), Intensity: array('f', [0.0, 564.0, 97.0, 23.0])
[INFO] [1753437163.862184690] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.8480000495910645, 2.4040000438690186, 7.0320000648498535]), Intensity: array('f', [0.0, 564.0, 54.0, 12.0])
[INFO] [1753437163.962184711] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.8480000495910645, 2.4040000438690186, 7.0320000648498535]), Intensity: array('f', [0.0, 564.0, 54.0, 12.0])
[INFO] [1753437164.062404194] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.871000051498413, 2.4040000438690186, 7.0320000648498535]), Intensity: array('f', [0.0, 564.0, 54.0, 12.0])
[INFO] [1753437164.162143185] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.8919999599456787, 2.4040000438690186, 7.0320000648498535]), Intensity: array('f', [0.0, 564.0, 54.0, 12.0])
[INFO] [1753437164.262169542] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9110000133514404, 2.4040000438690186, 7.0320000648498535]), Intensity: array('f', [0.0, 564.0, 54.0, 12.0])
[INFO] [1753437164.362232509] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.9110000133514404, 2.4159998893737793, 7.019999980926514]), Intensity: array('f', [0.0, 564.0, 53.0, 12.0])
[INFO] [1753437164.462210834] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.927999973297119, 2.4159998893737793, 7.019999980926514]), Intensity: array('f', [0.0, 564.0, 53.0, 12.0])
[INFO] [1753437164.562183494] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.927999973297119, 2.4159998893737793, 7.060999870300293]), Intensity: array('f', [0.0, 564.0, 53.0, 184.0])
[INFO] [1753437164.662141626] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.927999973297119, 2.4159998893737793, 7.046999931335449]), Intensity: array('f', [0.0, 564.0, 53.0, 184.0])
[INFO] [1753437164.762175440] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.927999973297119, 2.4159998893737793, 7.046999931335449]), Intensity: array('f', [0.0, 564.0, 53.0, 184.0])
[INFO] [1753437164.862192166] [laser_publisher]: Sample data - Range: array('f', [0.0, 3.927999973297119, 2.4159998893737793, 7.0329999923706055]), Intensity: array('f', [0.0, 564.0, 53.0, 184.0])
