[INFO] [1753419097.023429991] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.082567108] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.182622873] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.282655564] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.382690079] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.482695954] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.582631554] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.682630420] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.782728937] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.882709435] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419097.982739406] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.083147760] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.182838006] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.282739301] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.382727127] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.482690344] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.582916707] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.682691245] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.782741665] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.882705362] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419098.982655843] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419099.082576562] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
[INFO] [1753419099.182960275] [laser_publisher]: Sample data - Range: array('f', [0.0, 0.9359999895095825, 1.0490000247955322, 1.4320000410079956]), Intensity: array('f', [0.0, 408.0, 59.0, 6.0])
